id;title;author;year;type;publisher;artist;quality;price;location;genre;weight;pages;isbn;description;image;notes;user_id
752;Kit Carson: Boy Trapper;Stevenson, Augusta;1945;Hardcover, missing jacket;Bobbs-Merrill;Laune, Paul (illustrator);Good;NULL;Josh's Place;Childrens;NULL;NULL;N;NULL;752;"Bookplate with \"George Kapor\" inside.";2
753;Roget's Thesaurus of the English Language in Dictionary Form;Mawson, Sylvester (editor);1936;Hardcover;Garden City;NULL;Fair ;20;Sycamore: 2nd, Right;Reference;NULL;NULL;N;NULL;753;"\"Joan Hyde, Ellington, Connecticut\" written inside.";2
754;Poetical Works of Alfred Tennyson, The;Tennyson, Alfred;1873;Hardcover;Harper Brothers;NULL;Fair ;100;Sycamore: 3rd, Right;Poetry;NULL;NULL;N;NULL;754;"\"Joan Hyde 1942\" inscribed on first page.";2
755;Life and Exploits of Don Quixote;Cervantes Saavedra, Miguel de;1840;Hardcover;J.B. Williams;NULL;Used, Poor ;NULL;NULL;NULL;NULL;NULL;N;NULL;755;NULL;2
756;Spy, The;Cooper, James Fenimore;1963;Hardcover w/ slipcase;Heritage Press;Pitz, Henry C (illustrator);Used, Good ;0;Sycamore: 5th, Right;Novel;NULL;NULL;N;NULL;756;Sandglass included.;2
757;Rohan Book of Hours, The;Porcher, Jean;1959;Hardcover, missing jacket;Thomas Yoseloff;NULL;Good;20;Sycamore: 4th, Left;Art, Museum;NULL;NULL;N;NULL;757;NULL;2
758;Politics and the Constitution of Athens, The;Aristotle / Stephen Everson;2008;Softcover;Cambridge;NULL;Used;10;Sycamore: Storage;Philosophy;NULL;NULL;N;NULL;758;Student Book;2
759;Romance of Leonardo Da Vinci, The;Merejcovski, Dmitri;1954;Hardcover, missing jacket;Heritage Press;Da Vinci, Leonardo;Used, Good ;15;Sycamore: 2nd;Art, History;NULL;NULL;N;NULL;759;Bookplate inside.;2
760;St. Petersburg;Biely, Andrey;1959;Hardcover, Missing Jacket;Grove Press;NULL;Used;30;Sycamore: Top;Novel;NULL;NULL;N;NULL;760;NULL;2
761;Life of Samuel Johnson Vol. I;Boswell, James;1963;Hardcover w/ slipcase;Heritage Press;Reynolds, Joshua;Used, Like New;NULL;Sycamore:;Biographies, History;NULL;NULL;N;NULL;761;Sandglass included.;2
762;Rome As It Was: The Eternal City a Century Ago in the Water-Colours;Cartocci, Sergio;1972;Sofcover;Oto, Roma;Franz, Ettore Roesler;Good;10;Sycamore:;History, Tourism, Education, Italy, Rome;NULL;NULL;N;NULL;762;NULL;2
763;Life of Samuel Johnson Vol. II;Boswell, James;1963;Hardcover w/ slipcase;Heritage Press;Willison, George;Used, Like New;NULL;Sycamore:;Biographies, History;NULL;NULL;N;NULL;763;Sandglass missing.;2
764;Polly;Page, Thomas Nelson;1894;Hardcover;Charles Scribner's Sons;Castaigne, A.;Used;40;Sycamore: Top, Right;Short Stories;NULL;NULL;N;NULL;764;First Edition;2
765;Standard Bible Story Readers. Book One;Faris, Lillie A.;1947;Hardcover;Standard Publishing;NULL;Very Poor;3;Sycamore:;Religion, Children;NULL;NULL;N;NULL;765;A lot of writing and scribbling inside.;2
766;Rooster Crows, The;Petersham, Maud and Miska;1962;Hardcover, missing jacket;Macmillan Co.;Petersham, Maud and Miska;Fair ;15;Sycamore:;Childrens, Nursery Rhymes;NULL;NULL;N;NULL;766;Scuff marks on cover, binding coming loose.;2
1921;Edinburgh Castle: A Landmark Guide;Hayes, David;0;Staple-bound;Landmark Press;N/A;Good;5;Aaron & Tina's;History, Geography, Travel, Guide, Art;0.2;32;NULL;NULL;1921;"\"8-6-81\" written inside.";2
1922;The Thrill of  Horse;N/A;0;Staple-bound;NULL;N/A;Used;5;Aaron & Tina's;NULL;0.2;32;N;NULL;1922;Scuff marks on cover. ;2
767;Rootabaga Stories;Sandburg, Carl;1951;Hardcover w/ Jacket;Harcourt, Brace & World;Petersham, Maud and Miska (Illustrators);Good;25;Sycamore:;Stories, Collection, Children;NULL;NULL;N;"Rootabaga Stories (1922) is a children's book of interrelated short stories by Carl Sandburg. The whimsical, sometimes melancholy stories, which often use nonsense language,[1] were originally created for his own daughters. Sandburg had three daughters, Margaret, Janet and Helga, whom he nicknamed \"Spink\", \"Skabootch\" and \"Swipes\" -those nicknames occur in some of his Rootabaga stories. The \"Rootabaga\" stories were born of Sandburg's desire for \"American fairy tales\" to match American childhood. He felt that the European stories involving royalty and knights were inappropriate, and so set his stories in a fictionalized American Midwest called \"the Rootabaga country\" filled with farms, trains, and corn fairies. A large number of the stories are told by the Potato Face Blind Man, an old minstrel of the Village of Liver-and-Onions who hangs out in front of the local post office.";767;Jacket clipped.;2
768;Standard catalog of American cars, 1805-1942;Kimes, Beverly Rae;1985;Softcover;Krause Publications;NULL;Good;100;Sycamore:;Reference, Hobbies;NULL;NULL;N;A colossal volume of more than 5,000 companies and builders of cars in the United States. Over a century of automobiles. Great book for anyone interested in old cars and for collectors a must have.;768;"First Edition, First Printing. \"G.L.K.\" stamp inside.";2
769;Pompeii. A Guide to the Ancient City;Nappo, Salvatore;1998;Hardcover w/ jacket;Barnes & Noble;"Galliani, Anna\\; Zanotti, Clara (designers)";Used, Like New;15;Sycamore:;History, Education;NULL;NULL;N;NULL;769;Price sticker on cover.;2
771;Life of Samuel Johnson Vol. III;Boswell, James;1963;Hardcover w/ slipcase;Heritage Press;Pine, Robert Edge;Used, Like New;NULL;Sycamore:;Biographies, History;NULL;NULL;N;NULL;771;Sandglass included.;2
773;Stanyan Street & Other Sorrows;McKuen, Rod;1966;Hardcover w/ Jacket;Random House;NULL;Fair;50;Sycamore:;Novel;NULL;NULL;N;Stanyan Street and Other Sorrows is divided into five segments and an autobiographical poem. Included are Stanyan Street, Kearney Street, The Yellow Unicorn, and a selection of lyrics from songs and poems written as early as 1954.;773;Jacket Clipped;2
774;Literary England Photographs of Places Made Memorable in English Literature;David E Scherman, Richard Wilcox;1944;Hardcover;Random House;NULL;Used;0;Sycamore:;NULL;NULL;NULL;N;A picture record of eight places famed in English prose and poetry, from the castle of Arthurian legend to the village loved by the Shropshire Lad. The photographs feature descriptive text and accompanying passage from the famous poem or story inspired by the scene pictured above.;774;NULL;2
775;Pooh Story Book, The;Milne, A.A.;1965;Hardcover w/ jacket;E.P. Dutton & Co.;Shepard, E. H.;Poor;35;Aaron & Tina's;Children's, Illustration;NULL;NULL;N;NULL;775;"\"Johnny from aunt ???, Christmas 1965\" written inside. Jacket falling apart.";2
776;+Rosebud No.4 (Action) (in original plastic wrap);Herms, Ralf;2003;Hardcover;Gestalten;Herms, Ralf (designer);Like New;50;Aaron's Place;Design, Art, Limited;NULL;NULL;N;NULL;776;First Edition. Limitied to 4,000.;2
845;National Geographic Action Book: Animal Homes;National Geographic;1989;Hardcover;National Geographic;Terreson, Jeffrey (illustrator);Poor;NULL;Sycamore:;Science, Nature, Animals, Education, Pop-up, Childrens;NULL;NULL;N;NULL;845;NULL;2
777;The Magic Mountain;Mann, Thomas;1962;Hardcover w/ slipcase;Heritage Press;Hoffmann, Felix (illustrator);Used, Good ;0;Sycamore: 5th;Novel;NULL;NULL;N;A monumental work of erudition and irony, sexual tension and intellectual ferment, The Magic Mountain is an enduring classic.  With this dizzyingly rich novel of ideas, Thomas Mann rose to the front ranks of the great modern novelists, winning the Nobel Prize in Literature in 1929. The Magic Mountain takes place in an exclusive tuberculosis sanatorium in the Swiss Alps–a community devoted to sickness that serves as a fictional microcosm for Europe in the days before the First World War.  To this hermetic and otherworldly realm comes Hans Castorp, an “ordinary young man” who arrives for a short visit and ends up staying for seven years, during which he succumbs both to the lure of eros and to the intoxication of ideas.;777;Sandglass included.;2
822;Story of Civilization: Part VII, The Age of Reason Begins;Durant, Will and Ariel;1961;Hardcover, missing jacket;Simon and Schuster;NULL;Used, Good ;40;Sycamore: 5th;History, Education, Book-Series;NULL;NULL;N;NULL;822;First Edition, Third Printing.;2
823;Serbian Legacy;Stewart, Cecil;1959;Hardcover w/ jacket;Harcourt Brace Jovanovich;NULL;Good shape;25;Sycamore:;History;NULL;NULL;N;An introduction to the religious art and architecture of Serbia. Contains a large section of black and white plates.;823;First Edition. ;2
778;Star-Making Machinery: The Odyssey of an Album;Stokes, Geoffrey;1976;Hardcover w/ jacket;Bobbs-Merrill;Beckman, Ingrid (designer);Good, Like New;55;Sycamore: 2rd, Left;Music, Pop Culture;NULL;NULL;N;"Star Making Machinery chronicles the history of one rock band, Commander Cody and His Lost Planet Airmen, to penetrate the myths and glamour of a business that grosses over four billion dollars annually. Geoffrey Stokes goes behind the scenes to view the almost infinite cast of characters involved in the producing and selling of a \"hit\" record. It is a world rife with record-company power plays, scandals, payola, and the inevitable clash of egos. Striking a critical balance between music as art and music as commodity, it is a valuable study of the economics of mass culture.";778;First edition, first printing.;2
779;Magic Show, Secret Instruction Book;Brodien, Marshall;1992;Paperback, Staplebound;Harmony Toy Ltd.;NULL;Good;NULL;Aaron's Place;Hobbies;NULL;NULL;N;NULL;779;NULL;2
780;Poor Richard: The Almanacks for the Years 1733-1758;Saunders, Richard (Benjamin Franklin);1964;Hardcover;Heritage;Rockwell, Norman (illustrator);Like New;70;Aaron's Place;History, Anthology;NULL;NULL;N;"Poor Richard's Almanack (sometimes Almanac) was a yearly almanac published by Benjamin Franklin, who adopted the pseudonym of \"Poor Richard\" or \"Richard Saunders\" for this purpose. The publication appeared continually from 1732 to 1758. It sold exceptionally well for a pamphlet published in the Thirteen Colonies\\; print runs reached 10,000 per year.";780;"\"Kapor\" bookplate in front. Gorgeous illustratos in full color by Norman Rockwell";2
781;Mitchell's School Geography: A System of Modern Geography, Comprising a Description of the Present State of the World, and its Five Great Divisions, America, Europe, Asia, Africa, and Oceanica;NULL;1841;Hardcover;NULL;NULL;Very Good;0;Sycamore: Dining Room Cabinet;Geography, History;NULL;NULL;N;Mitchell's School Geography - A system of modern geography, comprising a description of the present state of the world, and its five great divisions, America, Europe, Asia, Africa, and Oceanica - Accompanied by an atlas containing thirty-two maps is an unchanged, high-quality reprint of the original edition of 1860. Hansebooks is editor of the literature on different topic areas such as research and science, travel and expeditions, cooking and nutrition, medicine, and other genres. As a publisher we focus on the preservation of historical literature. Many works of historical writers and scientists are available today as antiques only. Hansebooks newly publishes these books and contributes to the preservation of literature which has become rare and historical knowledge for the future.;781;NULL;2
782;Steve McQueen;Claxton, William;2004;Softcover;Taschen;Claxton, William (photographer);Good;45;Aaron's Place;Photography, Celebrities;NULL;NULL;N;NULL;782;NULL;2
783;Portrait of a Lady, The;James, Henry;1967;Hardcover w/ slipcase;Heritage Press;Browning, Colleen (illustrator);Good, Like New;25;Sycamore: 5th;Novel;NULL;NULL;N;NULL;783;Sandglass included. ;2
784;Stickeen;Muir, John;1981;Paperback;Heyday;NULL;Good;10;Sycamore:;Novel;NULL;NULL;N;NULL;784;"\"G.L.K.\" stamp inside.";2
785;Portraits of the Civil War;Portraits of the Civil War;1998;Hardcover w/ jacket;Barnes & Noble;NULL;Good;25;Sycamore:;Photography, History;NULL;NULL;N;NULL;785;"\"To my brother George, From your sister Melinda, 1998\" written inside.";2
786;Stock Image Rand McNally Children's Atlas of the United States;Rand McNally ;1989;Hardcover;Rand McNally & Company;Pieper, Bill (Art Director);Very Good;20;Sycamore:;Geography, Chilrdren;NULL;NULL;N;NULL;786;NULL;2
787;Stones from the River;Hegi, Ursula;1994;Paperback;Scribner Book Company;NULL;Fair;5;Sycamore:;Novel;NULL;NULL;N;NULL;787;NULL;2
788;Portugal;Tuohy, Frank;1970;Hardcover, missing jacket;Viking;Finlayson, Graham;Good ;20;Sycamore: Bottom;Photography;NULL;NULL;N;NULL;788;NULL;2
789;Stories for Little Curly Locks;NULL;1887;Hardcover;Dutton;NULL;Fair;50;Sycamore: Dining Room Cabinet;Childrens;NULL;NULL;N;NULL;789;Writing inside, very old and rare... cant find price.;2
790;The Possessed;Dostoevsky, Fyodor;1959;Hardcover w/ slipcase;Heritage Press;Eichenberg, Fritz (illustrator);Used, Good ;0;Sycamore: 5th;Novel;NULL;NULL;N;The Possessed is an extremely political book, and is a testimonial of life in Imperial Russia in the late 19th century. As the revolutionary democrats begin to rise in Russia, different ideologies begin to collide. Dostoevsky casts a critical eye on both the left-wing idealists, exposing their ideas and ideological foundation as demonic, and the conservative establishment's ineptitude in dealing with those ideas and their social consequences. This form of intellectual conservativism tied to the Slavophil movement of Dostoevsky's day, is seen to have continued on into its modern manifestation in individuals like Aleksandr Solzhenitsyn. Dostoevsky's novels focusing on the idea that utopias and positivist ideas, in being utilitarian, were unrealistic and unobtainable. The book has five primary ideological characters: Verkhovensky, Shatov, Stavrogin, Stepan Trofimovich, and Kirilov. Through their philosophies, Dostoevsky describes the political chaos seen in 19th-Century Russia.;790;Sandglass missing.;2
791;Postage Stamps of the United States 1847-1957;United States Post Office Department;1957;Softcover;United States Post Office Department;NULL;Good;20;Sycamore:;Hobbies, Reference, Guide;NULL;NULL;N;NULL;791;"\"Joan Kapor\"";2
792;Stories of Great Americans for Little Americans;Edward Eggleston;1923;Hardcover, Missing Jacket;American Book Company;NULL;Used, Poor ;10;Sycamore: Top;Children's;NULL;NULL;N;"A primer relating many interesting episodes in United States history. Ease of reading is enhanced with a controlled vocabulary and short sentences\\; many words are divided into syllables to help readers sound out unfamiliar words.";792;Sticker and writing inside cover;2
846;Streams in the Desert;Cowman, Mrs. Chas.;1965;Hardcover w/ Jacket;Zondervan;NULL;Good;5;Sycamore:;Religion, Spirituality;NULL;NULL;N;NULL;846;"\"G.L.K.\" stamp inside.";2
793;The Moon and Sixpence;Maugham, W. Somerset;1941;Hardcover w/ slipcase;Heritage Press;"Gauguin, Paul\\; Steele, Dorr (illustrator)";Used, Good ;0;Sycamore: 2nd, Right;Novel;NULL;NULL;N;THE MOON AND SIXPENCE is a novel by W. Somerset Maugham first published in April 15th, 1919. It is told in episodic form by a first-person narrator, in a series of glimpses into the mind and soul of the central character Charles Strickland, a middle-aged English stockbroker, who abandons his wife and children abruptly to pursue his desire to become an artist. The story is in part based on the life of the painter Paul Gauguin.;793;Sandglass included.;2
795;The Story of a Bad Boy;Aldrich, Thomas;1956;Hardcover, Missing Jacket;Doubleday;Moynihan, Roberta (illustrator);Good;15;Sycamore:;Novel, Children;NULL;NULL;N; In 1869 Thomas Bailey Aldrich introduced to American literature the original “bad boy”--that all-American boy who plays harmless pranks, devises exciting adventures, has an occasional bout of love-sickness, is bored on Sundays, and is well-liked by almost everyone. Later followed by Mark Twain’s The Adventures of Tom Sawyer and The Adventures of Huckleberry Finn, The Story of a Bad Boy--once called the first truly American novel--is Aldrich’s partially autobiographical tale of growing up in America. Set in Rivermouth (based on Aldrich’s childhood home in Portsmouth, New Hampshire), it follows the exploits of young Tom Bailey through snowball wars, schoolyard fights, Fourth of July parades, adventures at sea, and childhood sweathearts. Now printed in more than fifty editions and read and beloved by Americans for over a century, Aldrich’s classic is ready to be rediscovered by a new generation of readers.;795;NULL;2
796;Mouse Soup;Lobel, Arnold;1984;Softcover;Harper & Row;Lobel, Arnold;Poor;NULL;Aaron's Place;Children, Education, Short-Stories;NULL;NULL;N;NULL;796;NULL;2
797;Rubaiyat of Omar Khayyam, Deluxe Edition;"Khayyam, Omar\\; Fitzgerald, Edward (translation)";1937;Hardcover, missing slipcase;Garden City;Dulac, Edmund;Good;100;Sycamore: Dining Room Cabinet;Poetry, Persian;NULL;NULL;N;"In 1859, Edward FitzGerald translated into English the short, epigrammatic poems (or \"rubÃ¡iyÃ¡t\") of medieval Persian poet Omar KhayyÃ¡m. If not a true translation--his Omar seems to have read Shakespeare and the King James Bible--the poem nevertheless conveyed some of the most beautiful and haunting images in English poetry, and some of the sharpest-edged. By the end of the century, it was one of the best-known poems in the English language, admired by Swinburne and Ruskin.";797;"First Edition. \"To Joan - from Mother & Daddy - Xmas 1941\" written inside";2
798;The Story of American Hunting and Firearms;Outdoor Life (editors);1959;Hardcover w/ slipcase;McGraw-Hill;Smith, Ralph Crosby;Fair;40;Sycamore:;History;NULL;NULL;N;Outdoor Life book - stirring panorama of the hunters and their guns through the exciting years of American History. 14 full color plates and b/w illustrations.;798;NULL;2
799;Mouse Tales;Lobel, Arnold;1984;Softcover;Harper & Row;Lobel, Arnold;Poor;NULL;Aaron's Place;Children, Education, Short-Stories;NULL;NULL;N;NULL;799;NULL;2
800;Rumors of Peace;Leffland, Ella;1985;Paperback;Harper & Row;Adelson, Gloria (designer);Good ;10;Sycamore:;Novel;NULL;NULL;N;To ten-year-old Suse Hansen, the fighting in Europe seems far away from the blue skies and quiet streets of her Bay Area home in Mendoza, California—despite newspaper war photographs and the tense radio broadcasts. But Pearl Harbor changes everything. Caught up in the fear and uncertainty of air raid drills, draft calls, and the mysterious departure of her Japanese and Italian neighbors, Suse becomes obsessed with the war.;800;NULL;2
801;The Russians;Smith, Hedrick;1976;Hardcover w/ Jacket;Quadrangle;NULL;Good shape;75;Sycamore: 5th;Novel;NULL;NULL;N;An intimate and personal account of contemporary life in Russia. Author examines the life-styles and aspirations of every level of Russian society.;801;"\"G.L.K.\" stamp inside. ";2
802;Story of Civilization: Part I, Our Oriental Heritage;Durant, Will and Ariel;1954;Hardcover, missing jacket;Simon and Schuster;NULL;Used, Good ;25;Sycamore: 5th;History, Education, Book-Series;NULL;NULL;N;"This is the classic reference on world history, recognized as the most comprehensive general history ever written, the result of four decades of work by Will and Ariel Durant -- a set that The New York Times called \"a splendid, broad panorama of hereditary culture in words and images that the layman can fully understand.\" This series began as an effort to write a history on the nineteenth century, an undertaking that Will Durant realized could only be understood in terms of what had come before. So the Durants embarked on an encyclopedic survey of all civilization, ancient and modern, Occidental and Oriental.";802;First Edition, Sixteenth Printing.;2
803;My First Prayer Book;NULL;1989;Hardcover;Treasure Press;NULL;Fair;NULL;Anne's Place;Religion, Spirituality;NULL;NULL;N;NULL;803;"\"For Anne: Christening Day - 1990. Love From: Jim & Diane.\"";2
804;Saint Morrissey: A Portrait of This Charming Man by an Alarming Fan;Simpson, Mark;2006;Hardcover w/ jacket;Touchstone;Ruoto, William (designer);Used, Good ;20;Sycamore:;Music, Pop Culture;NULL;NULL;N;There is no other contemporary artist who is so famously difficult, so seemingly enigmatic, and so passionately loved by his fans as Morrissey. From the moment he caught the public's eye in the early 1980s as the iconic front man of the Smiths, and through his subsequent solo career, the patron saint of misfits has fascinated and baffled in equal measure.Yet, as Mark Simpson argues in this wickedly funny and deeply sacrilegious psycho-bio -- told through the lens of his own obsession as a lifelong fan -- Morrissey isn't quite so enigmatic as he might appear. To understand this most private (and sexually ambivalent) of stars, one need only uncover the countless clues to his personality in his startlingly candid song lyrics and his innumerable provocative interviews. Simpson deftly explores why Morrissey bewitched a generation -- and why he remains as intriguing as ever. In fact 2004 was Morrissey's best year to date, bringing his biggest-selling album, a sold-out tour, and the adulation of legions of new fans. Both an insightful look at the singer's career and a personal story of a boy's first love for his music idol, Saint Morrissey is, like its subject, shrewd, sharp-witted, charming, and utterly original.;804;First Edition.;2
805;Samuel Pepys' Diary;Pepys, Samuel;1932;Hardcover, Missing Jacket;Illustrated Editions;NULL;Used;20;Sycamore: Top;Biography;NULL;NULL;N;The diary which Samuel Pepys kept from January 1660 to May 1669 ...is one of our greatest historical records and... a major work of English literature, writes the renowned historian Paul Johnson. A witness to the coronation of Charles II, the Great Plague of 1665, and the Great Fire of 1666, Pepys chronicled the events of his day. Originally written in a cryptic shorthand, Pepys's diary provides an astonishingly frank and diverting account of political intrigues and naval, church, and cultural affairs, as well as a quotidian journal of daily life in London during the Restoration.;805;"\"Joan Hyde, Cynthia Hyde\" Inside";2
838;Straight on Till Morning: The Biography of Beryl Markham;Lovell, Mary S.;1987;Hardcover w/ jacket;St. Martin's Press;NULL;Fair ;35;Sycamore:;Biographies;NULL;NULL;N;Beryl Markham, like Karen Blixen, could only have come out of Africa. Pioneering aviatrix, flamboyant beauty, brilliant race-horse trainer, unscrupulous seducer - her life story is for every reader who was enthralled by Blixen's exotic world, that of Kenya between the wars.;838;First edition.;2
806;Story of Civilization: Part II, The Life of Greece;Durant, Will and Ariel;1939;Hardcover, missing jacket;Simon and Schuster;NULL;Used, Good ;50;Sycamore: 5th;History, Education, Book-Series;NULL;NULL;N;The Story of Civilization, Volume II: A history of Greek civilization from the beginnings, and of civilization in the Near East from the Death of Alexander to the Roman Conquest of Greece. This is the second volume of the classic Pulitzer Prize-winning series.;806;First Edition, Thirteenth Printing.;2
807;Story of Civilization: Part III, Caesar and Christ;Durant, Will and Ariel;1944;Hardcover, missing jacket;Simon and Schuster;NULL;Used, Good ;50;Sycamore: 5th;History, Education, Book-Series;NULL;NULL;N;Volume 3 of the monumental Story of Civilization, CAESAR AND CHRIST depicts the rise of Rome from a crossroads town to empire. The world's first republic, Rome spread its civilization over the Mediterranean and western European world. Its long, slow crumbling and final collapse plunged Europe into darkness and chaos.;807;First Edition, Ninth Printing.;2
808;Saving Your Marriage Before It Starts;Parrott, Les and Leslie;2006;Hardcover w/ jacket;Zondervan;NULL;Good, Like New;20;Sycamore: Storage;Marraige, Self-Help;NULL;NULL;N;NULL;808;NULL;2
809;Story of Civilization: Part IV, The Age of Faith;Durant, Will and Ariel;1950;Hardcover, missing jacket;Simon and Schuster;NULL;Used, Good ;40;Sycamore: 5th;History, Education, Book-Series;NULL;NULL;N;Covers the economy, politics, law, science, philosophy, and the art of the Christians, Moslems, and the Jews during medieval times;809;First Edition, Sixth Printing.;2
810;The Scented Garden;Verey, Rosemary;1983;Softcover;Van Nostrand Reinhold;NULL;Good;20;Sycamore:;Horticulture, Gardening;NULL;NULL;N;A campaign on behalf of an almost forgotten pleasure of gardening--the pursuit of fragrance. Tells which plants to cultivate for crisp winter smells and for the sublime nosegays of summer in your home.;810;NULL;2
811;School of the Seers, The;Welton, Jonathan;2007;Paperback;Destiny Image;NULL;Good;15;Sycamore:;Religion, Spirituality;NULL;NULL;N;NULL;811;NULL;2
825;Story of Civilization: Part VIII, The Age of Louis XIV ;Durant, Will and Ariel;1963;Hardcover, missing jacket;Simon and Schuster;NULL;Used, Good ;120;Sycamore: 5th;History, Education, Book-Series;NULL;NULL;N;The Story of Civilization, Volume VIII: A history of European civilization in the period of Pascal, Moliere, Cromwell, Milton, Peter the Great, Newton, and Spinoza: 1648-1715. This is the eighth volume of the Pulitzer Prize-winning series.;825;First Edition, First Printing.;2
826;Seven States of California: A Natural and Human History, The;Fradkin, Philip L.;1995;Hardcover w/ Jacket;Henry Holt;Szafranski, Paula R.;Very Good;70;Sycamore:;History, America, California;NULL;NULL;N;What explains California? To a large extent, as Philip Fradkin's rich, exuberant portrait makes clear, it's the multiple landscapes and the different states of mind that best define America's most populous, diverse, and fabled state. Fradkin divides California into seven distinct ecological and cultural provinces—from the hot deserts and high peaks to the rich agricultural Central Valley, the redwood forests of the north and sandy beaches of the south. Describing geographical regions based on their emblematic landscape features, Fradkin intertwines natural and social history.;826;"First Edition. \"To Geroge Kapor – Many thanks for the help on the Great Valley chapter. Philip L Fradkin, February 16, 1996.\" with a post card from the author and a newspaper article on the book also inside.";2
827;Shakespeare;Brown, Ivor;1962;Softcover;Time Inc.;Levarie, Norma;Fair ;12;Sycamore: Storage;Literature, Hisotry;NULL;NULL;N;NULL;827;NULL;2
828;Story of Civilization: Part X, Rousseau and Revolution;Durant, Will and Ariel;1967;Hardcover, missing jacket;Simon and Schuster;NULL;Used, Good ;50;Sycamore: 5th;History, Education, Book-Series;NULL;NULL;N;Rousseau and Revolution, Volume 10 of Will & Ariel Durant's Story of Civilization, ranges over a Europe in ferment, but centers on the passionate rebel-philosopher Jean-Jacques Rousseau, the great exponent of the romantic impulse toward self-exploration & social revolt, who contended with the great rationalist, Voltaire, for the mind of Europe. Rousseau condemned civilization as a disease, glorified the noble savage, proclaimed to the world with equal intensity his own love affairs & the natural Rights of Man, & became the patron saint of the Revolution & the worldwide social upheavals of two centuries.;828;First Edition, First Printing.;2
829;Shakespeare;Burgess, Anthony;1970;Hardcover w/ Jacket;Knopf;NULL;Good , Like New;30;Sycamore: 4th, Right;Literature, Hisotry;NULL;NULL;N;NULL;829;First Edition;2
830;Shakespeare: Antony and Cleopatra;M. R. Ridley;1956;Hardcover w/ Jacket;Harvard University;NULL;Used, Good shape;40;Sycamore: Top;Theatre;NULL;NULL;N;NULL;830;NULL;2
831;Story of King Arthur and His Knights, The;Howard Pyle;1954;Hardcover;Charles Scribner's Sons;NULL;Used;30;Sycamore: 2nd, Right;Novel, Classics;NULL;NULL;N;NULL;831;The Howard Pyle Brandywine Edition 1853 - 1933;2
832;Story of Noah, The;Lessing, Erich;1968;Hardcover w/ jacket;Time Life;NULL;Good , Like New;30;Sycamore: 4th, Left;History, Art;NULL;NULL;N;NULL;832;First Edition. Bookplate in front.;2
833;Power in Praise;Carothers, Merlin R.;1972;Softcover;Logos International;NULL;Fair;8;Sycamore:;Religion, Spirituality;NULL;NULL;N;NULL;833;NULL;2
834;Story of One Hundred Symphonic Favorites, The;Grabbe, Paul;1940;Hardcover, missing jacket;Grosset & Dunlap;NULL;Poor;15;Sycamore:;Music, History;NULL;NULL;N;NULL;834;NULL;2
835;Story of World War I, The;Leckie, Robert;1965;Hardcover w/ jacket;Random House;NULL;Fair ;15;Sycamore: Bottom;History;NULL;NULL;N;NULL;835;"\"KAPOR\" witten inside in pencil. Markings inside and numerous tears in DJ, also has clipping.";2
836;Mysterious Island, The;Verne, Jules;1959;Hardcover w/ slipcase;Heritage Press;Wilson, Edward A. (illustrator);Used, Good ;0;Sycamore: 3rd, Right;Novel;NULL;NULL;N;After hijacking a balloon from a Confederate camp, a band of five northern prisoners escapes the American Civil War. Seven thousand miles later, they drop from the clouds onto an uncharted volcanic island in the Pacific. Through teamwork, scientific knowledge, engineering, and perseverance, they endeavour to build a colony from scratch. But this island of abundant resources has its secrets. The castaways discover they are not alone. A shadowy, yet familiar, agent of their unfathomable fate is watching.What unfolds in Jules Verne’s imaginative marvel is both an enthralling mystery and the ultimate in survivalist adventures.;836;Sandglass included.;2
837;"Practical Potter\\; A Step-by-step Handbook, The";Warshaw, Josie;2002;Hardcover w/ jacket;Hermes House;Clay, Cella (designer);Used, Good ;30;Sycamore:;Hobbies, Crafts, Art, Education;NULL;NULL;N;Aimed both at the novice and the practising potter, this accessible handbook provides all the knowledge and practical advice you need to create a wide range of ceramic objects. Exploring contemporary approaches to design and technique, the book offers a rich source of creative inspiration.;837;NULL;2
839;National Geographic Action Book: Hide and Seek;National Geographic;1985;Hardcover;National Geographic;Gibson, Barbara (illustrator);Poor;NULL;Sycamore:;Science, Nature, Animals, Education, Pop-up, Childrens;NULL;NULL;N;NULL;839;NULL;2
840;Shakespeare: Julius Caesar;Dorsch, T.S.;1958;Hardcover w/ Jacket;Harvard University;NULL;Used, Good shape;20;Sycamore: Top;Theatre;NULL;NULL;N;NULL;840;NULL;2
